,Taylor(with new sparse)
0,0.09341485188416479*x0 - 0.4170023379755263*x1 - 0.04149252183584222*x10 + 0.0075819839848626745*x11 - 0.0027764142518042403*x12 + 0.014395993343977087*x13 - 0.01244625651099817*x14 - 0.07172681655188891*x15 + 0.044583082519511354*x16 + 0.028166601434768845*x17 + 0.009218932867643127*x18 - 0.036233108052738223*x19 - 0.33285047671116874*x2 - 0.02180882883095026*x20 - 0.04487448257251718*x21 - 0.035499209778419256*x22 + 0.050755012206274285*x23 - 0.032523242532348506*x24 + 0.04296955205972206*x25 - 0.00979761784189899*x26 + 0.01950103250267728*x27 - 0.025918445725442087*x28 + 0.014995677847262478*x29 + 0.3516934854309363*x3 - 0.026613131834230714*x30 - 0.02773058598736244*x31 - 0.0334379126500527*x32 - 0.00921455373307431*x33 - 0.02480970142100677*x34 - 0.032293344156972124*x35 + 0.013091673021070536*x36 + 0.04579840874467749*x37 + 0.009477219746224154*x38 + 0.0789124075392182*x39 + 0.5161206989971432*x4 - 0.018652136452811666*x40 + 0.05410251558901646*x41 - 0.04359422322801616*x42 - 0.0031112882682126407*x43 - 0.009774691741826857*x44 + 0.015936464388359776*x45 + 0.05327240036461326*x46 - 0.00039008280875681703*x47 + 0.003692787588531281*x48 + 0.007953791453057711*x49 + 0.06379049965941286*x5 - 0.046304278957202044*x6 - 0.05639749651516217*x7 + 0.0097608358351904*x8 - 0.044117588922061204*x9 - 0.0158661261695887
1,0.09341485188416479*x0 - 0.4170023379755263*x1 - 0.04149252183584222*x10 + 0.0075819839848626745*x11 - 0.0027764142518042403*x12 + 0.014395993343977087*x13 - 0.01244625651099817*x14 - 0.07172681655188891*x15 + 0.044583082519511354*x16 + 0.028166601434768845*x17 + 0.009218932867643127*x18 - 0.036233108052738223*x19 - 0.33285047671116874*x2 - 0.02180882883095026*x20 - 0.04487448257251718*x21 - 0.035499209778419256*x22 + 0.050755012206274285*x23 - 0.032523242532348506*x24 + 0.04296955205972206*x25 - 0.00979761784189899*x26 + 0.01950103250267728*x27 - 0.025918445725442087*x28 + 0.014995677847262478*x29 + 0.3516934854309363*x3 - 0.026613131834230714*x30 - 0.02773058598736244*x31 - 0.0334379126500527*x32 - 0.00921455373307431*x33 - 0.02480970142100677*x34 - 0.032293344156972124*x35 + 0.013091673021070536*x36 + 0.04579840874467749*x37 + 0.009477219746224154*x38 + 0.0789124075392182*x39 + 0.5161206989971432*x4 - 0.018652136452811666*x40 + 0.05410251558901646*x41 - 0.04359422322801616*x42 - 0.0031112882682126407*x43 - 0.009774691741826857*x44 + 0.015936464388359776*x45 + 0.05327240036461326*x46 - 0.00039008280875681703*x47 + 0.003692787588531281*x48 + 0.007953791453057711*x49 + 0.06379049965941286*x5 - 0.046304278957202044*x6 - 0.05639749651516217*x7 + 0.0097608358351904*x8 - 0.044117588922061204*x9 - 0.0158661261695887
2,0.09341485188416479*x0 - 0.4170023379755263*x1 - 0.04149252183584222*x10 + 0.0075819839848626745*x11 - 0.0027764142518042403*x12 + 0.014395993343977087*x13 - 0.01244625651099817*x14 - 0.07172681655188891*x15 + 0.044583082519511354*x16 + 0.028166601434768845*x17 + 0.009218932867643127*x18 - 0.036233108052738223*x19 - 0.33285047671116874*x2 - 0.02180882883095026*x20 - 0.04487448257251718*x21 - 0.035499209778419256*x22 + 0.050755012206274285*x23 - 0.032523242532348506*x24 + 0.04296955205972206*x25 - 0.00979761784189899*x26 + 0.01950103250267728*x27 - 0.025918445725442087*x28 + 0.014995677847262478*x29 + 0.3516934854309363*x3 - 0.026613131834230714*x30 - 0.02773058598736244*x31 - 0.0334379126500527*x32 - 0.00921455373307431*x33 - 0.02480970142100677*x34 - 0.032293344156972124*x35 + 0.013091673021070536*x36 + 0.04579840874467749*x37 + 0.009477219746224154*x38 + 0.0789124075392182*x39 + 0.5161206989971432*x4 - 0.018652136452811666*x40 + 0.05410251558901646*x41 - 0.04359422322801616*x42 - 0.0031112882682126407*x43 - 0.009774691741826857*x44 + 0.015936464388359776*x45 + 0.05327240036461326*x46 - 0.00039008280875681703*x47 + 0.003692787588531281*x48 + 0.007953791453057711*x49 + 0.06379049965941286*x5 - 0.046304278957202044*x6 - 0.05639749651516217*x7 + 0.0097608358351904*x8 - 0.044117588922061204*x9 - 0.0158661261695887
3,0.09341485188416479*x0 - 0.4170023379755263*x1 - 0.04149252183584222*x10 + 0.0075819839848626745*x11 - 0.0027764142518042403*x12 + 0.014395993343977087*x13 - 0.01244625651099817*x14 - 0.07172681655188891*x15 + 0.044583082519511354*x16 + 0.028166601434768845*x17 + 0.009218932867643127*x18 - 0.036233108052738223*x19 - 0.33285047671116874*x2 - 0.02180882883095026*x20 - 0.04487448257251718*x21 - 0.035499209778419256*x22 + 0.050755012206274285*x23 - 0.032523242532348506*x24 + 0.04296955205972206*x25 - 0.00979761784189899*x26 + 0.01950103250267728*x27 - 0.025918445725442087*x28 + 0.014995677847262478*x29 + 0.3516934854309363*x3 - 0.026613131834230714*x30 - 0.02773058598736244*x31 - 0.0334379126500527*x32 - 0.00921455373307431*x33 - 0.02480970142100677*x34 - 0.032293344156972124*x35 + 0.013091673021070536*x36 + 0.04579840874467749*x37 + 0.009477219746224154*x38 + 0.0789124075392182*x39 + 0.5161206989971432*x4 - 0.018652136452811666*x40 + 0.05410251558901646*x41 - 0.04359422322801616*x42 - 0.0031112882682126407*x43 - 0.009774691741826857*x44 + 0.015936464388359776*x45 + 0.05327240036461326*x46 - 0.00039008280875681703*x47 + 0.003692787588531281*x48 + 0.007953791453057711*x49 + 0.06379049965941286*x5 - 0.046304278957202044*x6 - 0.05639749651516217*x7 + 0.0097608358351904*x8 - 0.044117588922061204*x9 - 0.0158661261695887
4,0.09341485188416479*x0 - 0.4170023379755263*x1 - 0.04149252183584222*x10 + 0.0075819839848626745*x11 - 0.0027764142518042403*x12 + 0.014395993343977087*x13 - 0.01244625651099817*x14 - 0.07172681655188891*x15 + 0.044583082519511354*x16 + 0.028166601434768845*x17 + 0.009218932867643127*x18 - 0.036233108052738223*x19 - 0.33285047671116874*x2 - 0.02180882883095026*x20 - 0.04487448257251718*x21 - 0.035499209778419256*x22 + 0.050755012206274285*x23 - 0.032523242532348506*x24 + 0.04296955205972206*x25 - 0.00979761784189899*x26 + 0.01950103250267728*x27 - 0.025918445725442087*x28 + 0.014995677847262478*x29 + 0.3516934854309363*x3 - 0.026613131834230714*x30 - 0.02773058598736244*x31 - 0.0334379126500527*x32 - 0.00921455373307431*x33 - 0.02480970142100677*x34 - 0.032293344156972124*x35 + 0.013091673021070536*x36 + 0.04579840874467749*x37 + 0.009477219746224154*x38 + 0.0789124075392182*x39 + 0.5161206989971432*x4 - 0.018652136452811666*x40 + 0.05410251558901646*x41 - 0.04359422322801616*x42 - 0.0031112882682126407*x43 - 0.009774691741826857*x44 + 0.015936464388359776*x45 + 0.05327240036461326*x46 - 0.00039008280875681703*x47 + 0.003692787588531281*x48 + 0.007953791453057711*x49 + 0.06379049965941286*x5 - 0.046304278957202044*x6 - 0.05639749651516217*x7 + 0.0097608358351904*x8 - 0.044117588922061204*x9 - 0.0158661261695887
5,0.09341485188416479*x0 - 0.4170023379755263*x1 - 0.04149252183584222*x10 + 0.0075819839848626745*x11 - 0.0027764142518042403*x12 + 0.014395993343977087*x13 - 0.01244625651099817*x14 - 0.07172681655188891*x15 + 0.044583082519511354*x16 + 0.028166601434768845*x17 + 0.009218932867643127*x18 - 0.036233108052738223*x19 - 0.33285047671116874*x2 - 0.02180882883095026*x20 - 0.04487448257251718*x21 - 0.035499209778419256*x22 + 0.050755012206274285*x23 - 0.032523242532348506*x24 + 0.04296955205972206*x25 - 0.00979761784189899*x26 + 0.01950103250267728*x27 - 0.025918445725442087*x28 + 0.014995677847262478*x29 + 0.3516934854309363*x3 - 0.026613131834230714*x30 - 0.02773058598736244*x31 - 0.0334379126500527*x32 - 0.00921455373307431*x33 - 0.02480970142100677*x34 - 0.032293344156972124*x35 + 0.013091673021070536*x36 + 0.04579840874467749*x37 + 0.009477219746224154*x38 + 0.0789124075392182*x39 + 0.5161206989971432*x4 - 0.018652136452811666*x40 + 0.05410251558901646*x41 - 0.04359422322801616*x42 - 0.0031112882682126407*x43 - 0.009774691741826857*x44 + 0.015936464388359776*x45 + 0.05327240036461326*x46 - 0.00039008280875681703*x47 + 0.003692787588531281*x48 + 0.007953791453057711*x49 + 0.06379049965941286*x5 - 0.046304278957202044*x6 - 0.05639749651516217*x7 + 0.0097608358351904*x8 - 0.044117588922061204*x9 - 0.0158661261695887
6,0.09341485188416479*x0 - 0.4170023379755263*x1 - 0.04149252183584222*x10 + 0.0075819839848626745*x11 - 0.0027764142518042403*x12 + 0.014395993343977087*x13 - 0.01244625651099817*x14 - 0.07172681655188891*x15 + 0.044583082519511354*x16 + 0.028166601434768845*x17 + 0.009218932867643127*x18 - 0.036233108052738223*x19 - 0.33285047671116874*x2 - 0.02180882883095026*x20 - 0.04487448257251718*x21 - 0.035499209778419256*x22 + 0.050755012206274285*x23 - 0.032523242532348506*x24 + 0.04296955205972206*x25 - 0.00979761784189899*x26 + 0.01950103250267728*x27 - 0.025918445725442087*x28 + 0.014995677847262478*x29 + 0.3516934854309363*x3 - 0.026613131834230714*x30 - 0.02773058598736244*x31 - 0.0334379126500527*x32 - 0.00921455373307431*x33 - 0.02480970142100677*x34 - 0.032293344156972124*x35 + 0.013091673021070536*x36 + 0.04579840874467749*x37 + 0.009477219746224154*x38 + 0.0789124075392182*x39 + 0.5161206989971432*x4 - 0.018652136452811666*x40 + 0.05410251558901646*x41 - 0.04359422322801616*x42 - 0.0031112882682126407*x43 - 0.009774691741826857*x44 + 0.015936464388359776*x45 + 0.05327240036461326*x46 - 0.00039008280875681703*x47 + 0.003692787588531281*x48 + 0.007953791453057711*x49 + 0.06379049965941286*x5 - 0.046304278957202044*x6 - 0.05639749651516217*x7 + 0.0097608358351904*x8 - 0.044117588922061204*x9 - 0.0158661261695887
7,0.09341485188416479*x0 - 0.4170023379755263*x1 - 0.04149252183584222*x10 + 0.0075819839848626745*x11 - 0.0027764142518042403*x12 + 0.014395993343977087*x13 - 0.01244625651099817*x14 - 0.07172681655188891*x15 + 0.044583082519511354*x16 + 0.028166601434768845*x17 + 0.009218932867643127*x18 - 0.036233108052738223*x19 - 0.33285047671116874*x2 - 0.02180882883095026*x20 - 0.04487448257251718*x21 - 0.035499209778419256*x22 + 0.050755012206274285*x23 - 0.032523242532348506*x24 + 0.04296955205972206*x25 - 0.00979761784189899*x26 + 0.01950103250267728*x27 - 0.025918445725442087*x28 + 0.014995677847262478*x29 + 0.3516934854309363*x3 - 0.026613131834230714*x30 - 0.02773058598736244*x31 - 0.0334379126500527*x32 - 0.00921455373307431*x33 - 0.02480970142100677*x34 - 0.032293344156972124*x35 + 0.013091673021070536*x36 + 0.04579840874467749*x37 + 0.009477219746224154*x38 + 0.0789124075392182*x39 + 0.5161206989971432*x4 - 0.018652136452811666*x40 + 0.05410251558901646*x41 - 0.04359422322801616*x42 - 0.0031112882682126407*x43 - 0.009774691741826857*x44 + 0.015936464388359776*x45 + 0.05327240036461326*x46 - 0.00039008280875681703*x47 + 0.003692787588531281*x48 + 0.007953791453057711*x49 + 0.06379049965941286*x5 - 0.046304278957202044*x6 - 0.05639749651516217*x7 + 0.0097608358351904*x8 - 0.044117588922061204*x9 - 0.0158661261695887
8,0.09341485188416479*x0 - 0.4170023379755263*x1 - 0.04149252183584222*x10 + 0.0075819839848626745*x11 - 0.0027764142518042403*x12 + 0.014395993343977087*x13 - 0.01244625651099817*x14 - 0.07172681655188891*x15 + 0.044583082519511354*x16 + 0.028166601434768845*x17 + 0.009218932867643127*x18 - 0.036233108052738223*x19 - 0.33285047671116874*x2 - 0.02180882883095026*x20 - 0.04487448257251718*x21 - 0.035499209778419256*x22 + 0.050755012206274285*x23 - 0.032523242532348506*x24 + 0.04296955205972206*x25 - 0.00979761784189899*x26 + 0.01950103250267728*x27 - 0.025918445725442087*x28 + 0.014995677847262478*x29 + 0.3516934854309363*x3 - 0.026613131834230714*x30 - 0.02773058598736244*x31 - 0.0334379126500527*x32 - 0.00921455373307431*x33 - 0.02480970142100677*x34 - 0.032293344156972124*x35 + 0.013091673021070536*x36 + 0.04579840874467749*x37 + 0.009477219746224154*x38 + 0.0789124075392182*x39 + 0.5161206989971432*x4 - 0.018652136452811666*x40 + 0.05410251558901646*x41 - 0.04359422322801616*x42 - 0.0031112882682126407*x43 - 0.009774691741826857*x44 + 0.015936464388359776*x45 + 0.05327240036461326*x46 - 0.00039008280875681703*x47 + 0.003692787588531281*x48 + 0.007953791453057711*x49 + 0.06379049965941286*x5 - 0.046304278957202044*x6 - 0.05639749651516217*x7 + 0.0097608358351904*x8 - 0.044117588922061204*x9 - 0.0158661261695887
9,0.09341485188416479*x0 - 0.4170023379755263*x1 - 0.04149252183584222*x10 + 0.0075819839848626745*x11 - 0.0027764142518042403*x12 + 0.014395993343977087*x13 - 0.01244625651099817*x14 - 0.07172681655188891*x15 + 0.044583082519511354*x16 + 0.028166601434768845*x17 + 0.009218932867643127*x18 - 0.036233108052738223*x19 - 0.33285047671116874*x2 - 0.02180882883095026*x20 - 0.04487448257251718*x21 - 0.035499209778419256*x22 + 0.050755012206274285*x23 - 0.032523242532348506*x24 + 0.04296955205972206*x25 - 0.00979761784189899*x26 + 0.01950103250267728*x27 - 0.025918445725442087*x28 + 0.014995677847262478*x29 + 0.3516934854309363*x3 - 0.026613131834230714*x30 - 0.02773058598736244*x31 - 0.0334379126500527*x32 - 0.00921455373307431*x33 - 0.02480970142100677*x34 - 0.032293344156972124*x35 + 0.013091673021070536*x36 + 0.04579840874467749*x37 + 0.009477219746224154*x38 + 0.0789124075392182*x39 + 0.5161206989971432*x4 - 0.018652136452811666*x40 + 0.05410251558901646*x41 - 0.04359422322801616*x42 - 0.0031112882682126407*x43 - 0.009774691741826857*x44 + 0.015936464388359776*x45 + 0.05327240036461326*x46 - 0.00039008280875681703*x47 + 0.003692787588531281*x48 + 0.007953791453057711*x49 + 0.06379049965941286*x5 - 0.046304278957202044*x6 - 0.05639749651516217*x7 + 0.0097608358351904*x8 - 0.044117588922061204*x9 - 0.0158661261695887
